x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0.01,6.53,25.23,24.61,0,0,0,80,362.38,2.417221,5.056053494
0.01,6.53,32.23,31.92,0,0,0,80,274.5,3.92,4.895558124
0.01,6.53,15.48,14.75,0,0,0,80,193.67,3.32,4.440065239
0.01,6.06,6.63,1.1,0,1,1.3,50,338.539,2.417221,6.027995487
0.01,6.06,15.46,12.56,0,1,1.3,50,345.419,2.417221,5.817491677
0.01,6.06,6.59,4.48,0,1,1.3,50,370.789,2.417221,5.6222667
0.01,6.33,14.37,13.8,0,0,4,90,659.6,3.92,6.348774495
0.01,6.33,18.96,18.53,0,0,4,90,274.5,3.92,4.756565235
0.01,6.33,39.3,39.1,0,0,4,90,338.6,3.92,4.366493522
0.01,6.33,7.27,6.07,0,0,4,90,274.5,2.417221,3.639695827
0.01,6.9,54.1,52.93,0,1,-0.8,60,1000,2.417221,3.538874996
0.01,6.9,10.52,9.52,0,1,-0.8,60,1000,2.417221,4.089745383
0.01,6.9,10.76,8.14,0,1,-0.8,60,1000,2.417221,5.056597062
0.01,6.9,21.26,17.51,0,1,-0.8,60,1000,2.417221,4.467669826
0.01,6.9,46.25,44.62,0,1,-0.8,60,274.5,2.417221,3.7906132
0.01,6.9,23.35,22.54,0,1,-0.8,60,500,2.417221,5.349359992
0.01,6.9,17.64,13.34,0,1,-0.8,60,600,2.417221,5.006872965
0.01,6.9,32,29.79,0,1,-0.8,60,350,2.417221,4.791512623
0.01,6.9,30.07,27.49,0,1,-0.8,60,530,2.417221,4.692039643
0.01,6.9,10.84,6.78,0,1,-0.8,60,1000,2.417221,5.653318804
0.01,6.9,61.5,59.63,0,1,-0.8,60,659.6,2.417221,3.837251575
0.01,6.9,53.16,51.74,0,1,-0.8,60,460,2.417221,3.704579829
0.01,6.6,13.71,10.27,0,1,0,44,338.6,2.417221,5.561693519
0.01,5.9,15.57,15.28,0,0,2,90,208.71,3.56,5.040934463
0.01,5.9,15.45,15.16,0,0,2,90,207.469,3.92,4.881525995
0.01,5.9,16.81,16.54,0,0,2,90,348.69,3.08,5.37247916
0.01,5.9,8.15,7.57,0,0,2,90,191.14,2.417221,5.266236727
0.01,5.9,19.5,19.26,0,0,2,90,362.38,2.417221,4.597174556
0.01,5.9,6.87,6.18,0,0,2,90,193.67,3.32,6.011543305
0.01,6.36,24.02,23.78,1,0,3.4,30,271.441,2.417221,5.625871775
0.01,6.36,55.77,55.05,1,0,3.4,30,408.93,2.417221,3.785406412
0.01,6.36,43.68,42.76,1,0,3.4,30,338.539,2.417221,4.5439294
0.01,6.36,42.92,41.99,1,0,3.4,30,376.073,2.417221,3.335861717
0.01,6.36,44.72,43.83,1,0,3.4,30,184.75,2.417221,4.693181201
0.01,6.36,40.98,40.01,1,0,3.4,30,376.073,2.417221,3.883388459
0.01,6.36,45.7,44.82,1,0,3.4,30,338.539,2.417221,4.510914621
0.01,6.36,47.57,46.73,1,0,3.4,30,338.539,2.417221,4.18281423
0.01,6.36,46.35,45.49,1,0,3.4,30,438.339,2.417221,4.903640778
0.01,6.36,48.7,47.88,1,0,3.4,30,289.56,2.417221,4.904608356
0.01,6.36,50.2,49.4,1,0,3.4,30,338.539,2.417221,4.718698423
0.01,6.36,51.75,50.98,1,0,3.4,30,256.82,2.417221,4.521265042
0.01,6.36,41.99,41.04,1,0,3.4,30,338.539,2.417221,4.948774592
0.01,6.36,31.62,30.34,1,0,3.4,30,438.339,2.417221,4.586357298
0.01,6.36,28.52,27.1,1,0,3.4,30,376.073,2.417221,4.531638567
0.01,6.36,29.34,27.96,1,0,3.4,30,338.539,2.417221,4.711085802
0.01,6.36,29.48,28.11,1,0,3.4,30,338.539,2.417221,5.59204933
0.01,6.36,29.38,28,1,0,3.4,30,376.073,2.417221,5.101167496
0.01,6.36,27.67,26.2,1,0,3.4,30,338.539,2.417221,5.113841184
0.01,6.36,38.95,37.92,1,0,3.4,30,338.539,2.417221,4.793464843
0.01,6.36,37.22,36.14,1,0,3.4,30,370.789,2.417221,5.009678697
0.01,6.36,34.59,33.42,1,0,3.4,30,338.539,2.417221,4.523937267
0.01,6.36,32.87,31.64,1,0,3.4,30,438.339,2.417221,4.046543966
0.01,6.36,31.21,29.91,1,0,3.4,30,370.789,2.417221,4.787474093
0.01,6.36,29.94,28.58,1,0,3.4,30,376.073,2.417221,4.773868441
0.01,6.36,31.71,30.43,1,0,3.4,30,438.339,2.417221,3.9830163
0.01,6.36,36.15,35.04,1,0,3.4,30,338.539,2.417221,4.470038435
0.01,6.36,33.07,31.85,1,0,3.4,30,338.539,2.417221,4.366878789
0.01,6.36,37.02,35.93,1,0,3.4,30,376.073,2.417221,4.348348768
0.01,6.36,30.07,28.72,1,0,3.4,30,370.789,2.417221,4.504073376
0.01,6.36,39.12,38.1,1,0,3.4,30,438.339,2.417221,4.876056588
0.01,6.36,41.1,40.13,1,0,3.4,30,438.339,2.417221,4.333910119
0.01,6.36,43.64,42.72,1,0,3.4,30,438.339,2.417221,4.108383408
0.01,6.36,47.88,47.04,1,0,3.4,30,438.339,2.417221,4.154057485
0.01,6.36,36.4,35.29,1,0,3.4,30,376.073,2.417221,4.279531362
0.01,6.36,34,32.81,1,0,3.4,30,376.073,2.417221,4.79191965
0.01,6.36,31.58,30.3,1,0,3.4,30,376.073,2.417221,4.206350957
0.01,6.36,26.38,24.83,1,0,3.4,30,338.539,2.417221,5.189800475
0.01,6.36,29.12,27.72,1,0,3.4,30,376.073,2.417221,4.401138739
0.01,6.36,30.35,29.01,1,0,3.4,30,338.539,2.417221,4.469255666
0.01,6.36,32.17,30.91,1,0,3.4,30,297.2,2.417221,4.748131726
0.01,6.36,34.45,33.28,1,0,3.4,30,376.073,2.417221,3.944838912
0.01,6.36,40.92,39.94,1,0,3.4,30,438.339,2.417221,4.154611352
0.01,6.36,8.41,7.69,1,0,3.4,30,257.38,2.417221,6.32972013
0.01,6.36,27.46,25.98,1,0,3.4,30,684.935,2.417221,5.021063056
0.01,6.88,84.09,83,0,1,0,52,424.8,2.417221,4.291201723
0.01,6.88,86.67,84.8,0,1,0,52,424.8,2.417221,3.777738153
0.01,6.19,51.77,51.68,0,0,0.5,90,220,1.62,3.583407542
0.01,6.19,24.66,24.48,0,0,0.5,90,239.69,1.62,3.477439584
0.01,6.19,4.4,3.22,0,0,0.5,90,488.77,1.62,5.82002467
0.01,6.19,39.19,39.08,0,0,0.5,90,288.62,1.1,4.748556795
0.01,6.19,23.43,23.23,0,0,0.5,90,462.24,1.98,4.569528357
0.01,6.19,3.01,0.18,0,0,0.5,90,597.12,1.68,6.857323249
0.01,6.19,53.97,53.89,0,0,0.5,90,116.35,1.62,3.997449359
0.01,6.19,31.48,31.34,0,0,0.5,90,367.57,1.62,3.101046787
0.01,6.19,15.13,14.83,0,0,0.5,90,729.65,1.62,4.601230596
0.01,6.19,15.2,14.9,0,0,0.5,90,1428,1.62,4.387418372
0.01,6.19,14,13.68,0,0,0.5,90,270.84,1.62,5.212027397
0.01,6.19,13.35,13.01,0,0,0.5,90,349.85,1.62,5.25434993
0.01,6.19,11.91,11.53,0,0,0.5,90,221.78,1.88,5.601775862
0.01,6.19,10.3,9.85,0,0,0.5,90,663.31,1.63,5.623213494
0.01,6.19,12.43,12.06,0,0,0.5,90,333.85,1.88,4.955085818
0.01,6.19,4.57,3.45,0,0,0.5,90,281.61,1.68,5.344912924
0.01,6.19,26.59,26.42,0,0,0.5,90,215.54,1.62,4.522183082
0.01,6.19,26.59,26.42,0,0,0.5,90,215.54,1.62,4.35167897
0.01,6.19,26.59,26.42,0,0,0.5,90,215.54,1.62,4.603905867
0.01,6.19,26.59,26.42,0,0,0.5,90,215.54,1.62,4.51691367
0.01,6.19,26.59,26.42,0,0,0.5,90,215.54,1.62,4.478103782
0.01,6.19,63.23,63.16,0,0,0.5,90,271.441,2.417221,4.006021718
0.01,6.19,70.99,70.93,0,0,0.5,90,190.14,1.62,3.783292695
0.01,6.19,27.31,27.15,0,0,0.5,90,370.789,1.96,3.614538777
0.01,6.19,32.02,31.88,0,0,0.5,90,622.859,1.75,4.311069089
0.01,6.19,32.02,31.88,0,0,0.5,90,622.859,1.75,4.184550086
0.01,6.19,45.57,45.47,0,0,0.5,90,714,1.1,4.143649642
0.01,5.8,18.89,12.8,0,1,8,48,659.6,2.417221,4.504573494
0.01,5.8,51.29,49.33,0,1,8,48,200,2.417221,4.199649216
0.01,5.8,31.23,29.71,0,1,8,48,338.6,2.417221,4.207521866
0.01,5.8,32.74,29.58,0,1,8,48,338.6,2.417221,4.201989529
0.01,5.8,47.59,45.47,0,1,8,48,338.6,2.417221,3.573502314
0.01,6.76,9.6,2.48,1,0,2,25,659.6,2.417221,6.964366153
0.01,6.76,4.93,0,1,0,2,25,659.6,2.417221,5.975618654
0.01,6.76,7.68,4.93,1,0,2,25,659.6,2.417221,5.006321383
0.01,6.06,38.43,38.22,0,0,4,46,684.935,2.417221,4.788283105
0.01,6.06,52.06,51.91,0,0,4,46,684.935,2.417221,4.57776193
0.01,6.06,42.36,42.17,0,0,4,46,338.539,2.417221,4.476755813
0.01,6.06,7.84,6.74,0,0,4,46,345.419,2.417221,5.395396426
0.01,6.06,52.41,52.26,0,0,4,46,274.98,2.417221,3.915279726
0.01,6.06,27.5,27.21,0,0,4,46,370.789,2.417221,5.039537628
0.01,6.06,6.82,0.99,0,0,4,46,345.419,2.417221,5.822919979
0.01,6.06,14.24,12.79,0,0,4,46,345.419,2.417221,4.845169651
0.01,6.06,34.71,34.48,0,0,4,46,338.539,2.417221,4.835913053
0.01,6.06,72.97,71.7,0,0,4,46,345.419,2.417221,3.579485781
0.01,6.06,29.83,29.56,0,0,4,46,338.539,2.417221,5.355581567
0.01,6.06,35.57,35.34,0,0,4,46,207.469,2.417221,4.541638744
0.01,6.06,41.93,41.74,0,0,4,46,345.419,2.417221,3.930343271
0.01,6.06,26.88,23.2,0,0,4,46,379.32,2.417221,4.019667884
0.01,6.06,35.36,32.65,0,0,4,46,345.419,2.417221,4.446002394
0.01,6.06,12.07,3.67,0,0,4,46,345.419,2.417221,5.324638365
0.01,6.06,54.82,54.67,0,0,4,46,684.935,2.417221,3.894335468
0.01,6.06,4.04,0,0,0,4,46,345.419,2.417221,6.362079745
0.01,6.06,10.84,10.08,0,0,4,46,207.469,2.417221,5.12139828
0.01,6.06,67.5,67.38,0,0,4,46,370.789,2.417221,4.152419499
0.01,6.06,78.09,77.98,0,0,4,46,390.18,1.16,2.923785078
0.01,6.06,64.95,64.83,0,0,4,46,370.789,0.76,3.710679736
0.01,6.06,23.31,22.96,0,0,4,46,370.789,2.417221,5.429763318
0.01,6.06,30.97,30.71,0,0,4,46,338.539,2.417221,4.028148749
0.01,6.06,39.14,38.94,0,0,4,46,684.935,2.417221,4.649281364
0.01,6.06,17.03,16.55,0,0,4,46,684.935,2.417221,4.796240188
0.01,6.06,37.87,37.66,0,0,4,46,271.441,2.417221,4.817876563
0.01,6.06,64.8,64.68,0,0,4,46,370.789,2.417221,4.641157138
0.01,6.06,6.04,0,0,0,4,46,345.419,2.417221,6.390584085
0.01,6.06,49.08,48.92,0,0,4,46,684.935,2.417221,4.428571512
0.01,6.06,38.22,38.01,0,0,4,46,338.539,2.417221,4.69652645
0.01,5.77,24.43,24.25,0,0,2,90,271.441,2.417221,3.989851464
0.01,5.77,23.57,23.38,0,0,2,90,271.441,2.417221,4.687351909
0.01,5.77,15.29,14.99,0,0,2,90,345.419,2.417221,4.286714513
0.01,5.77,24.56,24.37,0,0,2,90,338.539,2.417221,3.68301801
0.01,5.77,6.77,6.07,0,0,2,90,271.441,2.417221,5.454120934
0.01,6.19,21.92,21.55,0,0,4,55,271.441,2.417221,5.242221569
0.01,6.19,17.17,14.38,0,0,4,55,271.441,2.417221,5.308916625
0.01,6.19,18.31,14.97,0,0,4,55,345.419,2.417221,4.975384067
0.01,6.19,31.19,29.35,0,0,4,55,338.539,2.417221,4.133405808
0.01,6.19,24.47,22.08,0,0,4,55,338.539,2.417221,4.795632219
0.01,6.19,21.12,18.3,0,0,4,55,345.419,2.417221,4.296492318
0.01,6.19,21.12,18.3,0,0,4,55,345.419,2.417221,4.401921008
0.01,6.19,36.47,34.91,0,0,4,55,345.419,2.417221,3.891174199
0.01,6.19,30.11,28.2,0,0,4,55,359.23,2.417221,4.327461815
0.01,6.19,51.98,50.92,0,0,4,55,345.419,2.417221,3.638485598
0.01,6.19,7.58,6.44,0,0,4,55,271.441,2.417221,6.032668674
0.01,6.6,70.49,68.74,0,1,0,39,424.8,2.417221,3.589437049
0.01,6.6,20.02,16.09,0,1,0,39,424.8,2.417221,5.671926354
0.01,5.99,14.66,1.67,0,0,14.5,30,550,2.892,5.949951759
0.01,5.99,19.52,8.72,0,0,14.5,30,370.789,0.32,5.375471472
0.01,5.99,29.6,25.81,0,0,14.5,30,234.8825426,3.091,4.079085701
0.01,5.99,17.42,4.53,0,0,14.5,30,367.53,2.04,5.568560099
0.01,5.99,36.97,32.56,0,0,14.5,30,297.71,3.182,4.521383883
0.01,5.99,16.72,4.34,0,0,14.5,30,308.6450892,2.84,4.615322843
0.01,5.99,17.79,10.31,0,0,14.5,30,308.6450892,5.031,5.528908345
0.01,5.99,29.9,25.91,0,0,14.5,30,545.66,0.32,4.712214649
0.01,5.99,32.7,29.09,0,0,14.5,30,355.81,1.04,4.672678692
0.01,5.99,28.5,22.5,0,0,14.5,30,445.983055,0.32,5.004092255
0.01,5.99,23.99,19.11,0,0,14.5,30,370.789,3.292,5.431134344
0.01,5.99,24,19.12,0,0,14.5,30,370.789,3.292,4.869819538
0.01,5.99,26.34,20.37,0,0,14.5,30,271.441,1,5.250688775
0.01,5.99,54.74,52.76,0,0,14.5,30,338.539,2.71,3.588775583
0.01,5.99,48.96,45.98,0,0,14.5,30,267.49,2.834,4.941463592
0.01,5.99,48.18,44.88,0,0,14.5,30,308.6450892,1.76,4.63392002
0.01,5.99,26.82,22.57,0,0,14.5,30,235,3.220357143,5.326290043
0.01,5.99,33.19,29.85,0,0,14.5,30,361.167702,4.245,3.940039562
0.01,5.99,30.03,26.3,0,0,14.5,30,160.58,3.347,4.794423289
0.01,5.99,64.96,62.56,0,0,14.5,30,438.339,2.417221,3.630789732
0.01,5.99,72.19,70.04,0,0,14.5,30,450.28,1.52,4.181178793
0.01,5.99,23.37,18.32,0,0,14.5,30,308.6450892,5.759,5.791940209
0.01,5.99,20.91,13.58,0,0,14.5,30,405.1888981,1.64,4.264916576
0.01,5.99,18.59,9.49,0,0,14.5,30,271.441,2.44,4.675352638
0.01,5.99,20.79,14.9,0,0,14.5,30,245.06,5.606,5.68627159
0.01,5.99,20.82,14.95,0,0,14.5,30,271.9,6.091,5.163134296
0.01,5.99,15.67,0.75,0,0,14.5,30,308.6450892,3.04,5.238119826
0.01,5.99,37.92,35.04,0,0,14.5,30,308.6450892,2.417221,4.452191139
0.01,5.99,39.45,36.69,0,0,14.5,30,270.19,3.014,4.204257291
0.01,5.99,14.5,0.36,0,0,14.5,30,468.18,2.845,5.933717599
0.01,5.99,22.82,14.68,0,0,14.5,30,445.983055,0.32,5.44401743
0.01,5.99,22.11,13.67,0,0,14.5,30,445.983055,1.2,4.568769486
0.01,5.99,17.39,9.6,0,0,14.5,30,337,2.884,5.247127751
0.01,5.99,103.9,102.89,0,0,14.5,30,338.539,2.417221,3.614465598
0.01,5.99,44.58,42.16,0,0,14.5,30,370.789,2.417221,3.823761025
0.01,5.99,25.86,21.41,0,0,14.5,30,316.02,3.549,5.554487173
0.01,5.99,23.29,18.23,0,0,14.5,30,301,4.852,5.815896887
0.01,5.99,25.94,21.51,0,0,14.5,30,297.07,3.35,4.994401455
0.01,5.99,31.53,28,0,0,14.5,30,234.8825426,2.804,3.950486259
0.01,5.99,29.89,26.14,0,0,14.5,30,277.98,3.267,4.446358105
0.01,5.99,29.73,25.95,0,0,14.5,30,277.98,3.28,4.096667168
0.01,5.99,35.23,32.11,0,0,14.5,30,740.05,0.32,3.410371996
0.01,5.99,16.97,8.56,0,0,14.5,30,445.983055,2.45,4.913404443
0.01,5.99,18.86,11.07,0,0,14.5,30,445.983055,0.76,5.230805277
0.01,5.99,24.08,19.22,0,0,14.5,30,316.46,2.169,5.106291923
0.01,5.99,31.47,27.94,0,0,14.5,30,255,0.32,3.935632207
0.01,5.99,16.53,6,0,0,14.5,30,405.1888981,1.939,4.997898322
0.01,5.99,21.11,15.34,0,0,14.5,30,315.06,2.574,5.302748529
0.01,5.99,15.18,4.5,0,0,14.5,30,349.43,3.278,6.033322733
0.01,5.99,20.48,14.46,0,0,14.5,30,308.6450892,4.659,5.224773394
0.01,5.99,24.99,20.35,0,0,14.5,30,308.71,3.317,4.808914895
0.01,5.99,22.17,16.77,0,0,14.5,30,294.247,5.345,5.045125934
0.01,5.99,27.64,23.4,0,0,14.5,30,1222.52,0.0368,3.722685116
0.01,5.99,37.05,34.1,0,0,14.5,30,229.787,3.969,4.079691634
0.01,5.99,24.54,19.8,0,0,14.5,30,270.19,5.602,5.363034422
0.01,5.99,28.56,24.61,0,0,14.5,30,405.1888981,3.583,5.227935985
0.01,5.99,33.68,30.4,0,0,14.5,30,370.789,3.508,3.913275554
0.01,5.99,26.04,19.28,0,0,14.5,30,445.983055,0.32,5.030718059
0.01,5.99,20.28,14.17,0,0,14.5,30,361.167702,3.253,5.0290886
0.01,5.99,17.75,10.24,0,0,14.5,30,308.6450892,2.36,4.860439812
0.01,5.99,71.75,69.59,0,0,14.5,30,425.34,2.417221,3.538955346
0.01,5.99,26.68,22.4,0,0,14.5,30,234.8825426,5.396,5.442094879
0.01,5.99,67.62,65.32,0,0,14.5,30,271.441,2.417221,4.142980347
0.01,5.99,30.04,26.31,0,0,14.5,30,361.167702,4.234,4.087083067
0.01,5.99,59.13,56.48,0,0,14.5,30,445.983055,2.417221,3.872568497
0.01,5.99,59.6,56.97,0,0,14.5,30,327.44,2.417221,3.823658582
0.01,5.99,48.64,46.43,0,0,14.5,30,622.859,2.417221,4.010542863
0.01,5.99,63.23,61.54,0,0,14.5,30,349.54,2.417221,3.737504805
0.01,5.99,62.07,60.35,0,0,14.5,30,376.073,2.417221,3.638937382
0.01,5.99,36.79,32.36,0,0,14.5,30,684.935,2.417221,4.378729344
0.01,5.99,74.69,72.62,0,0,14.5,30,405.1888981,2.458,3.700600648
0.01,5.99,22.73,14.5,0,0,14.5,30,821.6894831,2.417221,5.092202378
0.01,5.99,33.11,28.37,0,0,14.5,30,445.983055,2.596,5.132726317
0.01,5.99,52.2,49.18,0,0,14.5,30,269.14,2.417221,4.126829509
0.01,5.99,58.61,55.93,0,0,14.5,30,285.93,3.344,4.239053538
0.01,5.99,41.69,38.04,0,0,14.5,30,280.86,3.174,4.967644637
0.01,5.99,20.42,14.37,0,0,14.5,30,270.19,4.218,5.12092397
0.01,5.99,22.84,17.65,0,0,14.5,30,376.073,3.396,5.259370519
0.01,5.99,41.32,38.7,0,0,14.5,30,445.983055,0.366476868,3.868820202
0.01,5.99,36.11,31.59,0,0,14.5,30,508.08,1.295,5.036368477
0.01,5.99,36.29,31.8,0,0,14.5,30,271.441,2.483,4.889803581
0.01,5.99,36.55,32.13,0,0,14.5,30,271.441,2.417221,4.665306736
0.01,5.99,17.3,4.3,0,0,14.5,30,370.789,2.417221,5.002286903
0.01,5.99,17.3,4.3,0,0,14.5,30,370.789,2.417221,5.403729882
0.01,5.99,17.3,4.3,0,0,14.5,30,370.789,2.417221,5.467496159
0.01,5.99,17.3,4.3,0,0,14.5,30,370.789,2.417221,5.786063589
0.01,5.99,19.17,8.03,0,0,14.5,30,455.3753976,1.198,5.565444429
0.01,5.99,32.8,29.42,0,0,14.5,30,405.1888981,1.99,3.443426639
0.01,5.99,29.65,25.11,0,0,14.5,30,229.787,0.96,4.126281414
0.01,5.99,44.54,40.96,0,0,14.5,30,390.18,1.16,4.001032668
0.01,5.99,42.26,39.7,0,0,14.5,30,508.83,2.417221,2.996678499
0.01,5.99,56.48,54.58,0,0,14.5,30,370.789,0.76,3.875634412
0.01,5.99,83.59,81.74,0,0,14.5,30,271.441,2.417221,4.15558484
0.01,5.99,15.2,0,0,0,14.5,30,401.37,2.467,5.469254782
0.01,5.99,15.94,1.57,0,0,14.5,30,379.43,2.073,5.104066619
0.01,5.99,18.49,11.47,0,0,14.5,30,308.6450892,4.326,6.060480316
0.01,5.99,35.86,32.8,0,0,14.5,30,370.789,2.476,3.615447133
0.01,5.99,31.06,26.91,0,0,14.5,30,294.247,1,5.308023222
0.01,5.99,34.99,30.33,0,0,14.5,30,308.6450892,2.298,5.261199674
